,Nome,Idade,Posicao,Media,Potencial,Time,Salario,Total_Pontos
633, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
634, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
635, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
636, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
637, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
638, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
639, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
640, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
641, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
642, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
643, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
644, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
645, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
646, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
647, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
648, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
649, Antony,20,RW,79,88,Ajax,€17K,1939
650, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
651, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
652, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
653, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
654, R. Jones,17,ST,59,82,Peterborough United,€500,1544
655, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
656, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
657, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
658, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
659, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
660, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
661, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
662, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
663, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
664, Isco,28,CAM,83,83,Real Madrid,€190K,2077
665, S. Córdova,23,LM,75,83,Club América,€30K,1940
666, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
667, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
668, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
669, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
670, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
671, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
672, Nanu,26,RB,73,76,FC Porto,€10K,1969
673, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
674, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
675, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
676, B. Saka,18,RM,77,88,Arsenal,€25K,1968
677, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
678, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
679, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
680, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
681, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
682, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
683, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
684, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
685, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
686, N. Madueke,18,RM,72,87,PSV,€5K,1792
687, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
688, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
689, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
690, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
691, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
692, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
693, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
694, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
695, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
696, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
697, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
698, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
699, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
700, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
701, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
702, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
703, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
704, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
705, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
706, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
707, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
708, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
709, Antony,20,RW,79,88,Ajax,€17K,1939
710, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
711, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
712, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
713, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
714, R. Jones,17,ST,59,82,Peterborough United,€500,1544
715, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
716, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
717, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
718, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
719, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
720, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
721, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
722, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
723, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
724, Isco,28,CAM,83,83,Real Madrid,€190K,2077
725, S. Córdova,23,LM,75,83,Club América,€30K,1940
726, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
727, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
728, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
729, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
730, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
731, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
732, Nanu,26,RB,73,76,FC Porto,€10K,1969
733, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
734, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
735, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
736, B. Saka,18,RM,77,88,Arsenal,€25K,1968
737, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
738, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
739, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
740, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
741, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
742, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
743, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
744, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
745, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
746, N. Madueke,18,RM,72,87,PSV,€5K,1792
747, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
748, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
749, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
750, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
751, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
752, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
753, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
754, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
755, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
756, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
757, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
758, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
759, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
760, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
761, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
762, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
763, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
764, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
765, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
766, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
767, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
768, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
769, Antony,20,RW,79,88,Ajax,€17K,1939
770, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
771, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
772, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
773, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
774, R. Jones,17,ST,59,82,Peterborough United,€500,1544
775, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
776, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
777, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
778, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
779, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
780, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
781, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
782, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
783, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
784, Isco,28,CAM,83,83,Real Madrid,€190K,2077
785, S. Córdova,23,LM,75,83,Club América,€30K,1940
786, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
787, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
788, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
789, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
790, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
791, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
792, Nanu,26,RB,73,76,FC Porto,€10K,1969
793, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
794, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
795, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
796, B. Saka,18,RM,77,88,Arsenal,€25K,1968
797, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
798, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
799, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
800, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
801, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
802, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
803, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
804, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
805, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
806, N. Madueke,18,RM,72,87,PSV,€5K,1792
807, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
808, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
809, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
810, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
811, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
812, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
813, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
814, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
815, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
816, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
817, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
818, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
819, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
820, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
821, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
822, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
823, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
824, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
825, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
826, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
827, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
828, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
829, Antony,20,RW,79,88,Ajax,€17K,1939
830, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
831, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
832, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
833, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
834, R. Jones,17,ST,59,82,Peterborough United,€500,1544
835, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
836, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
837, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
838, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
839, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
840, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
841, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
842, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
843, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
844, Isco,28,CAM,83,83,Real Madrid,€190K,2077
845, S. Córdova,23,LM,75,83,Club América,€30K,1940
846, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
847, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
848, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
849, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
850, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
851, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
852, Nanu,26,RB,73,76,FC Porto,€10K,1969
853, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
854, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
855, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
856, B. Saka,18,RM,77,88,Arsenal,€25K,1968
857, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
858, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
859, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
860, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
861, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
862, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
863, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
864, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
865, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
866, N. Madueke,18,RM,72,87,PSV,€5K,1792
867, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
868, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
869, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
870, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
871, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
872, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
873, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
874, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
875, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
876, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
877, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
878, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
879, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
880, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
881, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
882, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
883, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
884, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
885, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
886, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
887, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
888, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
889, Antony,20,RW,79,88,Ajax,€17K,1939
890, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
891, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
892, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
893, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
894, R. Jones,17,ST,59,82,Peterborough United,€500,1544
895, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
896, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
897, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
898, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
899, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
900, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
901, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
902, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
903, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
904, Isco,28,CAM,83,83,Real Madrid,€190K,2077
905, S. Córdova,23,LM,75,83,Club América,€30K,1940
906, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
907, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
908, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
909, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
910, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
911, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
912, Nanu,26,RB,73,76,FC Porto,€10K,1969
913, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
914, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
915, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
916, B. Saka,18,RM,77,88,Arsenal,€25K,1968
917, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
918, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
919, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
920, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
921, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
922, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
923, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
924, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
925, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
926, N. Madueke,18,RM,72,87,PSV,€5K,1792
927, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
928, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
929, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
930, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
931, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
932, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
933, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
934, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
935, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
936, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
937, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
938, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
939, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
940, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
941, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
942, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
943, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
944, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
945, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
946, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
947, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
948, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
949, Antony,20,RW,79,88,Ajax,€17K,1939
950, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
951, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
952, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
953, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
954, R. Jones,17,ST,59,82,Peterborough United,€500,1544
955, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
956, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
957, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
958, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
959, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
960, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
961, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
962, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
963, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
964, Isco,28,CAM,83,83,Real Madrid,€190K,2077
965, S. Córdova,23,LM,75,83,Club América,€30K,1940
966, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
967, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
968, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
969, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
970, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
971, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
972, Nanu,26,RB,73,76,FC Porto,€10K,1969
973, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
974, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
975, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
976, B. Saka,18,RM,77,88,Arsenal,€25K,1968
977, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
978, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
979, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
980, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
981, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
982, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
983, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
984, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
985, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
986, N. Madueke,18,RM,72,87,PSV,€5K,1792
987, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
988, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
989, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
990, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
991, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
992, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
993, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
994, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
995, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
996, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
997, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
998, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
999, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
1000, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
1001, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
1002, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
1003, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
1004, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
1005, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
1006, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
1007, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
1008, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
1009, Antony,20,RW,79,88,Ajax,€17K,1939
1010, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
1011, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
1012, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
1013, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
1014, R. Jones,17,ST,59,82,Peterborough United,€500,1544
1015, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
1016, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
1017, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
1018, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
1019, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
1020, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
1021, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
1022, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
1023, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
1024, Isco,28,CAM,83,83,Real Madrid,€190K,2077
1025, S. Córdova,23,LM,75,83,Club América,€30K,1940
1026, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
1027, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
1028, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
1029, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
1030, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
1031, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
1032, Nanu,26,RB,73,76,FC Porto,€10K,1969
1033, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
1034, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
1035, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
1036, B. Saka,18,RM,77,88,Arsenal,€25K,1968
1037, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
1038, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
1039, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
1040, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
1041, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
1042, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
1043, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
1044, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
1045, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
