,Nome,Idade,Posicao,Media,Potencial,Time,Salario,Total_Pontos
326, N. Madueke,18,RM,72,87,PSV,€5K,1792
327, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
328, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
329, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
330, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
331, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
332, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
333, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
334, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
335, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
336, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
337, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
338, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
339, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
340, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
341, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
342, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
343, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
344, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
345, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
346, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
347, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
348, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
349, Antony,20,RW,79,88,Ajax,€17K,1939
350, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
351, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
352, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
353, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
354, R. Jones,17,ST,59,82,Peterborough United,€500,1544
355, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
356, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
357, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
358, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
359, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
360, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
361, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
362, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
363, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
364, Isco,28,CAM,83,83,Real Madrid,€190K,2077
365, S. Córdova,23,LM,75,83,Club América,€30K,1940
366, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
367, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
368, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
369, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
370, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
371, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
372, Nanu,26,RB,73,76,FC Porto,€10K,1969
373, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
374, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
375, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
376, B. Saka,18,RM,77,88,Arsenal,€25K,1968
377, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
378, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
379, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
380, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
381, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
382, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
383, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
384, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
385, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
386, N. Madueke,18,RM,72,87,PSV,€5K,1792
387, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
388, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
389, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
390, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
391, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
392, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
393, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
394, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
395, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
396, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
397, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
398, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
399, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
400, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
401, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
402, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
403, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
404, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
405, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
406, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
407, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
408, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
409, Antony,20,RW,79,88,Ajax,€17K,1939
410, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
411, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
412, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
413, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
414, R. Jones,17,ST,59,82,Peterborough United,€500,1544
415, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
416, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
417, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
418, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
419, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
420, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
421, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
422, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
423, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
424, Isco,28,CAM,83,83,Real Madrid,€190K,2077
425, S. Córdova,23,LM,75,83,Club América,€30K,1940
426, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
427, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
428, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
429, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
430, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
431, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
432, Nanu,26,RB,73,76,FC Porto,€10K,1969
433, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
434, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
435, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
436, B. Saka,18,RM,77,88,Arsenal,€25K,1968
437, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
438, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
439, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
440, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
441, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
442, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
443, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
444, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
445, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
446, N. Madueke,18,RM,72,87,PSV,€5K,1792
447, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
448, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
449, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
450, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
451, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
452, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
453, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
454, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
455, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
456, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
457, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
458, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
459, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
460, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
461, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
462, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
463, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
464, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
465, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
466, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
467, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
468, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
469, Antony,20,RW,79,88,Ajax,€17K,1939
470, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
471, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
472, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
473, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
474, R. Jones,17,ST,59,82,Peterborough United,€500,1544
475, T. Souček,25,CDM,81,86,West Ham United,€46K,2075
476, Rúben Dias,23,CB,82,87,Manchester City,€110K,1777
477, P. Foden,20,CAM,81,91,Manchester City,€95K,1997
478, Nuno Tavares,20,LB,73,86,SL Benfica,€7K,1900
479, M. Kudus,19,CAM,77,87,Ajax,€10K,2015
480, V. Thill,20,RW,63,77,CD Nacional,€2K,1551
481, S. Wamangituka,20,RM,72,83,VfB Stuttgart,€13K,1847
482, 14 A. Wolf,31,CB,73,73,AS Monaco,€30K,1621
483, N. De la Cruz,23,CM,78,85,River Plate,€17K,2180
484, Isco,28,CAM,83,83,Real Madrid,€190K,2077
485, S. Córdova,23,LM,75,83,Club América,€30K,1940
486, X. Simons,17,CM,65,85,Paris Saint-Germain,€2K,1656
487, J. Grealish,24,LW,83,86,Aston Villa,€82K,2014
488, A. Diallo,17,ST,64,84,Manchester United,€5K,1510
489, E. Mwepu,22,CDM,75,82,FC Red Bull Salzburg,€20K,2035
490, R. Gravenberch,18,CM,75,89,Ajax,€6K,2016
491, R. Cherki,16,RW,69,88,Olympique Lyonnais,€6K,1623
492, Nanu,26,RB,73,76,FC Porto,€10K,1969
493, E. Hazard,29,LW,87,87,Real Madrid,€290K,2096
494, Y. Demir,17,CAM,66,87,SK Rapid Wien,€1K,1629
495, C. Hudson-Odoi,19,RW,75,86,Chelsea,€44K,1816
496, B. Saka,18,RM,77,88,Arsenal,€25K,1968
497, B. White,22,CB,76,87,Brighton & Hove Albion,€40K,1663
498, Bruno Viana,25,CB,77,81,SC Braga,€14K,1733
499, E. Haaland,19,ST,86,92,Borussia Dortmund,€67K,2052
500, M. Mandžukić,34,ST,79,79,Milan,€48K,2041
501, Pedri,17,LM,76,90,FC Barcelona,€14K,1865
502, E. Camavinga,17,CM,78,89,Stade Rennais FC,€6K,2086
503, J. Musiala,17,CAM,68,85,FC Bayern München,€3K,1561
504, M. Simakan,20,CB,74,84,RC Strasbourg Alsace,€16K,1734
505, J. Gvardiol,18,CB,71,87,Dinamo Zagreb,€500,1817
506, N. Madueke,18,RM,72,87,PSV,€5K,1792
507, D. Upamecano,21,CB,81,90,RB Leipzig,€41K,1841
508, J. Lingard,27,CAM,77,77,Manchester United,€95K,2064
509, J. Bellingham,17,CM,74,88,Borussia Dortmund,€6K,1962
510, R. Araujo,21,CB,71,81,FC Barcelona,€45K,1591
511, Ansu Fati,17,LW,76,90,FC Barcelona,€24K,1817
512, L. Messi,33,RW,93,93,FC Barcelona,€560K,2231
513, G. Reyna,17,CAM,75,88,Borussia Dortmund,€6K,1858
514, D. Szoboszlai,19,CAM,77,87,RB Leipzig,€27K,1967
515, K. Adeyemi,18,ST,69,86,FC Red Bull Salzburg,€6K,1750
516, M. Greenwood,18,RM,77,89,Manchester United,€33K,1922
517, M. Vandevoordt,18,GK,68,86,KRC Genk,€550,911
518, Matheus Cunha,21,CAM,80,87,Hertha BSC,€40K,1993
519, A. Hložek,17,ST,74,87,Sparta Praha,€500,1881
520, O. Kabak,20,CB,75,85,FC Schalke 04,€17K,1714
521, S. Dest,19,RB,75,88,FC Barcelona,€50K,1964
522, F. Wirtz,17,CAM,75,88,Bayer 04 Leverkusen,€7K,1876
523, T. Almada,19,CAM,74,88,Vélez Sarsfield,€9K,2001
524, P. Daka,21,ST,76,83,FC Red Bull Salzburg,€22K,1832
525, M. Mount,21,CAM,80,87,Chelsea,€70K,1997
526, P. De la Vega,19,RW,74,88,Club Atlético Lanús,€11K,1981
527, Cristiano Ronaldo,35,ST,92,92,Juventus,€220K,2221
528, D. Núñez,21,ST,76,87,SL Benfica,€11K,1905
529, Antony,20,RW,79,88,Ajax,€17K,1939
530, T. Lamptey,19,RWB,73,85,Brighton & Hove Albion,€20K,1777
531, F. Pellistri,18,RM,71,87,Manchester United,€19K,1736
532, Pedro Gonçalves,22,RW,79,87,Sporting CP,€16K,2021
533, M. Ihattaren,18,CAM,77,87,PSV,€7K,1891
534, R. Jones,17,ST,59,82,Peterborough United,€500,1544
